Algoritmo,Tamaño,Mejor,Peor,Media,Desviacion
Genetico,Pequeño,9427.811250779736,12598.11334919335,11568.766531025114,780.0340460200697
PSO,Pequeño,10545.288445060367,16357.546492972013,12359.727293615633,1189.4925135624096
Recocido,Pequeño,8911.081264132503,9026.722388313812,8922.645376550634,35.285411621262526
Tabu,Pequeño,9731.981807530115,9731.981807530115,9731.981807530115,0.0
Genetico,Mediano,9971.878527630133,11422.878310491713,10863.031901183462,396.86279581206225
PSO,Mediano,10010.907703545288,13340.16401386145,11500.642535891437,871.002117387965
Recocido,Mediano,8875.857730530337,8875.857730530337,8875.857730530337,0.0
Tabu,Mediano,9379.262516496598,9522.021553117542,9393.538420158691,43.559861645128066
Genetico,Grande,9172.030138025077,11600.12140017152,10077.694243230024,666.344334967537
PSO,Grande,9855.781910981013,12118.297288584365,10904.57281869947,616.1804796310604
Recocido,Grande,8820.033245944225,8918.984820774822,8867.279100215887,49.23060253587265
Tabu,Grande,9420.247453260603,9538.67439535944,9474.432722124908,56.40156689474269
